"Task/Initiative","Sponsor","Owner","Region","Category","Priority","Initiative Name","Description","Status","% Complete","Completed Actions","Next Action","Blockers","Start Date","Target Completion","Revised Completion","Actual Completion","Forecasted Cost","Realized Cost","Forecasted Revenue Impact","Realized Revenue To Date","Forecasted EBITDA Impact","Realized EBITDA To Date","Benefit Start Date","Project Link","Last Updated By","Approval status","ID","Created By","Modified By"
"Initiative","Joe Stodola","Brian Charles","Elgin, IL","BOD","1","Power Unit Assembly at 200 units a month","This project is focused on improving Direct Labor Efficiency (DLE) for Power Unit manufacturing operations where current performance exceeds 70% DLE. The objective is to move beyond baseline stabilization and drive incremental efficiency gains through targeted process optimization. Key activities include labor standard validation, work content balancing, reduction of non–value-added activities, improved material flow, and operator utilization optimization. Success will be measured by sustained DLE improvement above current levels, improved throughput, and reduced labor cost per unit without compromising safety, quality, or delivery performance.","On Track","100%","<a href=""https://iegna.sharepoint.com/sites/2023IEGStrategicPlan/_layouts/15/listform.aspx?ListId=%7BAABD4B8D%2D40C9%2D4BF0%2D9B14%2DB331E7F6E769%7D&PageType=4&ID=1"">View Entries</a>","Monitor for effectiveness. PDCA",,"1/1/2026","7/1/2026","3/31/2026","3/31/2026",,,"$7,000,000",,"$250,000",,"4/1/2026",,"Brian Charles","0","1","Chad Abrahamson","Brian Charles"
"Initiative","Ty Rhoad","Scott Myers","Elgin, IL","BOD","2","Improve West Coast Market Share","We have managed to keep lids in stock.  We have switched to Thermo for many sizes.  Bambi is now healthy enough for phone outreach.  I am visiting a couple WM sites in LA/SD, Athens, CR&R, and Republic LV next week.  Bottoms sales are slower than expected.","Behind","75%","<a href=""https://iegna.sharepoint.com/sites/2023IEGStrategicPlan/_layouts/15/listform.aspx?ListId=%7BAABD4B8D%2D40C9%2D4BF0%2D9B14%2DB331E7F6E769%7D&PageType=4&ID=2"">View Entries</a>",,"0","12/31/2025","7/1/2024",,,,,"$250,000",,,,,,"Scott Myers","0","2","Chad Abrahamson","Chad Abrahamson"
"Initiative","Brian Beth","Nick Zager","All Facilities","BOD","1","U.S. Facilities: Cyber Security Improvements and Audits","Training status report sent out.  Please ask your employees to complete open training","On Track","75%","<a href=""https://iegna.sharepoint.com/sites/2023IEGStrategicPlan/_layouts/15/listform.aspx?ListId=%7BAABD4B8D%2D40C9%2D4BF0%2D9B14%2DB331E7F6E769%7D&PageType=4&ID=7"">View Entries</a>",,"0","12/31/2025","12/31/2026",,,,,,,,,,,"Michael Moore","0","7","Chad Abrahamson","Chad Abrahamson"
"Initiative","Brian Beth","Nick Zager","All Facilities","BOD","1","Recover Insurance Proceeds related to JO Fire","Working with broker and claim adjusters to recover JO fire related costs/losses. Submitted for both equipment/cleanup as well as BI as it relates to outsourcing. Still need total costs once Mach 5 including the plan for controller replacement.
Recovered $469K related to the machine and building damages.  2 invoices were disputed related to water piping.  Submitted our answer.  Likely $20K not covered due to mistake on ordering the wrong size piping.  Working on other invoices to submit for recover since last submission.
Recovered $973K in Business interruption coverage related to outsourcing.","On Track","75%","<a href=""https://iegna.sharepoint.com/sites/2023IEGStrategicPlan/_layouts/15/listform.aspx?ListId=%7BAABD4B8D%2D40C9%2D4BF0%2D9B14%2DB331E7F6E769%7D&PageType=4&ID=8"">View Entries</a>",,"0","12/31/2025","5/30/2026",,,,,,,,,,,"Michael Moore","0","8","Chad Abrahamson","Chad Abrahamson"
"Initiative","Brian Beth","Nick Zager","All Facilities","BOD","1","Liquidity improvement: Find additional 3rd party financing for equipment","Signed agreement with Post Road to finance past and future capital spending.  $7.5M facility to be used over the next 12 months with incremental availability of $2.5M.  Facility to be used on existing and future manufacturing equipment.  
They will finance back to 1/1/25.  60 month amortization, interest rate ~6.5%
Next steps: 
1. final approval from Post Road on credit acceptance
2. Submit final equipment items to be funded that have already been paid by IEG
3. Process for approving and submitting for new purchases with Post Road","On Track","50%","<a href=""https://iegna.sharepoint.com/sites/2023IEGStrategicPlan/_layouts/15/listform.aspx?ListId=%7BAABD4B8D%2D40C9%2D4BF0%2D9B14%2DB331E7F6E769%7D&PageType=4&ID=9"">View Entries</a>",,"0","12/31/2025","3/31/2026",,,,,,,,,,,"Michael Moore","0","9","Chad Abrahamson","Chad Abrahamson"
"Initiative","Brian Beth","Nick Zager","All Facilities","BOD","1","Due Diligence and Integration of acquisitions","WERS: WERS now operating within IEG Service in IQMS and Salesforce.  
Storm: DD kicked off and data room open.  Visit of facilities complete.  Need to compile synergies of the deal.","On Track","75%","<a href=""https://iegna.sharepoint.com/sites/2023IEGStrategicPlan/_layouts/15/listform.aspx?ListId=%7BAABD4B8D%2D40C9%2D4BF0%2D9B14%2DB331E7F6E769%7D&PageType=4&ID=12"">View Entries</a>",,"0","12/31/2025","4/30/2026",,,,,,,,,,,"Michael Moore","0","12","Chad Abrahamson","Chad Abrahamson"
"Initiative","Nick Zager","Bruce Kohel","All Facilities","BOD","1","Setup revised financial reporting: Parts/Service/Systems","Setup reporting for IEG that is more aligned with the business segments in addition to locations. - Revenues are setup for IEG (Both NA and EMEA)
- Developed manual process to report down to the gross profit line of the P&L through some allocation assumptions.  Need to develop a more automated process.
- Need to build history","On Track","75%","<a href=""https://iegna.sharepoint.com/sites/2023IEGStrategicPlan/_layouts/15/listform.aspx?ListId=%7BAABD4B8D%2D40C9%2D4BF0%2D9B14%2DB331E7F6E769%7D&PageType=4&ID=13"">View Entries</a>",,"0","12/31/2025","2/28/2026",,,,,,,,,,,"Bruce Kohel","0","13","Chad Abrahamson","Chad Abrahamson"
"Initiative","Brian Beth","Nick Zager","All Facilities","BOD","1","U.S. sales tax project","Remaining escrow in place until 3/23/26 to cover 4 states: NY, MI, AZ, and MN.
On track to close out escrow in late March 2026.
Will work with Rockwood and Aurora to get escrow release and shareholders paid related tot he remaining escrow amount.","On Track","75%","<a href=""https://iegna.sharepoint.com/sites/2023IEGStrategicPlan/_layouts/15/listform.aspx?ListId=%7BAABD4B8D%2D40C9%2D4BF0%2D9B14%2DB331E7F6E769%7D&PageType=4&ID=14"">View Entries</a>",,"0","12/31/2025","3/23/2026",,,,,,,,,,,"Michael Moore","0","14","Chad Abrahamson","Chad Abrahamson"
"Initiative","Nick Zager","Bruce Kohel","All Facilities","BOD","1","Achieve liquidity plan for 2026","Continue to report and drive liquidity improvements. -AR Collections: progress on OWE.  Past due AR has dropped $3.4M since the beginning of the year.  Bakers Waste and WQ on payment plans and so far on track.  Still opportunity to improve.
- Inventory Reductions: 2026 Inv reduction target of $3M.  Slightly above budget.
- Capex Spending: still limited to emergency, JO, and EMEA rentals
-AP Past Due Catchup - still stretching vendors, $2.2M past due.  Overall AP is down $1.2M since year end.","On Track","75%","<a href=""https://iegna.sharepoint.com/sites/2023IEGStrategicPlan/_layouts/15/listform.aspx?ListId=%7BAABD4B8D%2D40C9%2D4BF0%2D9B14%2DB331E7F6E769%7D&PageType=4&ID=15"">View Entries</a>",,"0","12/31/2025","12/31/2026",,,,,,,,,,,"Bruce Kohel","0","15","Chad Abrahamson","Chad Abrahamson"
"Initiative","Nick Zager","Bruce Kohel","All Facilities","BOD","1","Drive business performance through tracking and publishing  action Items from Budget to Actuals","Drive the performance of the business by tracking the actual savings and action items from the budget vs actuals and reviewing with the business on a weekly & monthly basis. Trackers are in place and we need to formally review. - Implemented weekly scorecard to track key metrics for IEG
- GSC Tracker (working on identifying more savings to meet target)
- Synergy Trackers - Monthly updates.  
- Monthly plant financial reviews
","On Track","75%","<a href=""https://iegna.sharepoint.com/sites/2023IEGStrategicPlan/_layouts/15/listform.aspx?ListId=%7BAABD4B8D%2D40C9%2D4BF0%2D9B14%2DB331E7F6E769%7D&PageType=4&ID=16"">View Entries</a>",,"0","12/31/2025","12/31/2026",,,,,,,,,,,"Bruce Kohel","0","16","Chad Abrahamson","Chad Abrahamson"
